category,country,director,douban_rate,download_url,introduce,language,main_actor,movie_time,name,publish_date
恐怖/惊悚,,凯文·史密斯 Kevin Smith,,ftp://dygod2:dygod2@d317.dygod.org:5008/红色之州DVD中英双字/[电影天堂-www.dy2018.net]红色之州DVD中英双字.rmvb,导演凯文·史密斯说这个故事的灵感来源于韦斯特波罗浸信会（Westboro Baptist Church）的创始人弗莱德·菲尔普斯（Fred Phelps，他们曾多次在伊战阵亡士兵的葬礼上集会，高举“Thank God for 9/11”的标语；或者抗 议Lady Gaga是恶魔化身会腐蚀青少年）。,英语,迈克尔·安格拉诺 Michael Angarano  ....Travis,88 min,红色之州,
惊悚,,Aaron Woodley,,ftp://dygod1:dygod1@d065.dygod.org:1063/人质游戏.[中英双字.1024分辨率]/[电影天堂-www.dy2018.net]人质游戏BD中英双字.rmvb,介,英语,雷·利奥塔 Ray Liotta ....Richard Nader,1h:31m:06s,人质游戏,
动作/科幻,,Travis Fort,,ftp://dygod2:dygod2@d090.dygod.org:1027/2012冰河世纪.[中英双字.1024分辨率]/[电影天堂-www.dy2018.net]2012冰河世纪BD中英双字.rmvb,介,英语,Patrick Labyorteaux ....Bill Hart,91 mins,2012：冰河世纪,
剧情/惊悚,,马修·查普曼 Matthew Chapman,,ftp://dygod1:dygod1@d315.dygod.org:4009/跳楼男DVD中英双字/[电影天堂-www.dy2018.net]跳楼男DVD中英双字.rmvb,从英国版《同志亦凡人》到美剧《混乱之子》中的飞车暴力团伙，查理·汉纳姆走出了很远，这是他第一部担当主演的好莱坞电影，但在圣丹斯电影节上反响并不理想。影片的剧情比较玄乎，主要通过一位试图跳楼的男子和警察的对话引出一系列闪回，涉及到不伦和宗教狂热的问题，丽芙·泰勒也在片中奉献了不少床戏镜头。,英语,查理·汉纳姆 Charlie Hunnam  ....Gavin,101 Min,跳楼男/窗台,
剧情/惊悚,,马修·查普曼 Matthew Chapman,,ftp://dygod1:dygod1@d315.dygod.org:4010/跳楼男.[中英双字.1024分辨率]/[电影天堂-www.dy2018.net]跳楼男BD中英双字.rmvb,从英国版《同志亦凡人》到美剧《混乱之子》中的飞车暴力团伙，查理·汉纳姆走出了很远，这是他第一部担当主演的好莱坞电影，但在圣丹斯电影节上反响并不理想。影片的剧情比较玄乎，主要通过一位试图跳楼的男子和警察的对话引出一系列闪回，涉及到不伦和宗教狂热的问题，丽芙·泰勒也在片中奉献了不少床戏镜头。,英语,查理·汉纳姆 Charlie Hunnam  ....Gavin,101 Min,跳楼男/窗台,
动作/惊悚,,迈克尔·比恩 Michael Biehn    ,,ftp://dygod2:dygod2@d090.dygod.org:1028/赤色危机.[中英双字.1024分辨率]/[电影天堂-www.dy2018.net]赤色危机BD中英双字.rmvb,著名宗教大师到亚洲国家博玛向信众演讲，同行的包括一班高僧及随从，以及他年轻漂亮、且身手不凡的私人女保镳亦凡（Phoenix Chou）。 保安总指挥（林栋甫）奉命接待到访的大师。叛军组织 PLM 深知道大师一行人来访会对他们的计划不利，即派人暗杀大师；亦凡虽及时赶到但大师仍不幸被刺客所伤。身受重伤的大师必即时接受手术，然而他的血型非常罕有，境内拥有同类血型的人寥寥可数……PLM 的首领林朴（任达华）得知捐血者名单后下令得力助手君狄（裴蓓）逐一追杀他们。 眼见时候无多，大师的女保镳亦凡决定独自到连军队也不愿派人去的 PLM 占领区，寻找最后的一个生还的捐血者--一个酗酒、颓废的前特种部队成员尊狄勒文。 尊对亦凡起初不加理会，但当他们被 PLM 袭击时，他不得不相信亦凡的说话，性格背景截然不同的二人展开了惊心动魄的旅程，他们用尽所有方法避过 PLM 的追杀，务必要在12小时内赶回首都医院。旅途之中，二人渐渐建立了默契及感情。二人终于及时到达大师所住的首都医院，而一班 PLM 杀手亦正在等待他们…,英语,迈克尔·比恩 Michael Biehn  .... John Tremayne,85 min,赤色危机/血债,
犯罪/恐怖/惊悚,,Marcus Graves,,ftp://dygod3:dygod3@d090.dygod.org:2019/致命抉择.[中字.1024分辨率]/[电影天堂-www.dy2018.net]致命抉择BD中字.rmvb,介,英语,Katheryn Winnick  ...  Fiona Wagner  ,86 Mins,致命抉择/选择,
剧情/喜剧/爱情,,Nicole Kassell,,ftp://dygod2:dygod2@d317.dygod.org:5007/天堂一角.[中英双字.1024分辨率]/[电影天堂-www.dy2018.net]天堂一角BD中英双字.rmvb,"It's a comedy about a guarded woman who finds out she's dying of cancer, but when she meets her match, the threat of falling in love is scarier than death.",英语,凯特·哈德森 Kate Hudson  ....Marley Corbett,106 Mins,天堂一角/想爱趁现在/天使的微笑/归土/天堂一瞥/29未嫁,
剧情,,Mahsun Kirmizigül,,ftp://dygod1:dygod1@d065.dygod.org:2062/纽约五尖塔.[中字.1024分辨率]/[小调网-www.xiaodiao.com]纽约五尖塔BD中字.rmvb,介　,土耳其语/英语,丹尼·格洛弗 Danny Glover  ....Marcus,112 minutes,纽约五尖塔,
犯罪/惊悚,,Dominic Burns,,ftp://dygod2:dygod2@d315.dygod.org:1010/杰克遇挫.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]杰克遇挫BD中英双字.rmvb,介　,英语,西蒙·菲利普斯 Simon Phillips  ....Jack,100 min,杰克遇挫,
喜剧/剧情/爱情,,盖尔特·涅德霍福 Galt Niederhoffer,,ftp://dygod2:dygod2@d317.dygod.org:1006/浪漫主义者.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]浪漫主义者BD中英双字.rmvb,"除了凯蒂·霍尔姆斯，在影片中扮演其他好友的演员也各个都是能独当一面的人物：安娜·帕奎因、乔什·杜哈明和玛琳·阿克曼组成的配角阵容一样强大。谈到这样的演员阵容时，涅德霍福难掩心中的欣喜，她说：""作家是在和自己打交道，每句话、每个形容词都是和自己斗争的产物。而导演却是在和演员打交道，每个镜头的拍摄、每个场景的好坏都要仰仗于他们。如果有一群好演员，那么电影拍摄起来就容易多了，就好像一个词汇丰富、感情充沛的作家，很容易就能写出令人难以忘怀的句子一般。很走运，《浪漫主义者》里就有这么一群才华横溢而且非常敬业的演员。而我也能在短时间内很轻松地执导完这部电影。""",英语,凯蒂·霍尔姆斯 Katie Holmes....Laura,97 min.,浪漫主义者,
纪录,,,,ftp://dygod1:dygod1@d090.dygod.org:4009/[小调网-www.xiaodiao.com]探索频道：生命的速度BD中字-cd1.mkvftp://dygod2:dygod2@d090.dygod.org:5010/[小调网-www.xiaodiao.com]探索频道：生命的速度BD中字-cd2.mkvftp://dygod2:dygod2@d090.dygod.org:6001/[小调网-www.xiaodiao.com]探索频道：生命的速度BD中字-cd3.mkv,介,英语,,43m:55s/ 43m:55s/43m:55s,探索頻道：生命的速度/生物快慢间,
动作/惊悚 ,,马修·霍普 Matthew Hope,,ftp://dygod2:dygod2@d090.dygod.org:1018/老兵.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]老兵BD中英双字.rmvb,介　,英语,托比·凯贝尔 Toby Kebbell  ....Miller,98 min　,老兵/老将,
喜剧,,阿莱克斯·德拉·伊格莱希亚 álex de la Iglesia,,ftp://dygod1:dygod1@d065.dygod.org:2061/伤心小号曲.[中字.1024分辨率]/[小调网-www.xiaodiao.com]伤心小号曲BD中字.rmvb,"导演伊格莱希亚说:“为了拍摄这部电影,我已经全身心地毫无保留地投入了,所以这部带你呀是我所有电影里最有个人化风格的一部。虽然这样的风格会很容易带来一定的风险,但是我觉得这么做是值得的。因为只有这样才能完全而充分地表达出我内心的想法。”这样的导演风格也让演员也吃尽了苦头。扮演小丑的卡洛斯·阿雷塞斯说:“这个角色太复杂了,而且相当具有挑战性。导演给了我这个尝试和挑战的机会,我就试了一试。有很多时候,我无法理解人物,也有很多时候我觉得自己快坚持不住了。因为电影里有很多动作、奔跑和暴力的镜头。还有树林里的裸奔以及两个男主角的决斗等等,这些东西都让我精疲力竭。有一次,我需要只穿着单衣在雪地里排练,我差点就要退出剧组了。好在由导演的鼓励,我才坚持了下来。”",西班牙语,安东尼奥·德拉·托雷 Antonio de la Torre  ....Sergio,101 Mins,伤心小号曲/哀伤小号曲/悲伤民谣,
恐怖,,Jim Mickle,,ftp://dygod1:dygod1@d065.dygod.org:1056/刑柱之地.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]刑柱之地BD中英双字.rmvb,介　,英语,康勒·帕奥罗 Connor Paolo  ....Martin,98 mins,刑柱之地/血色大地(台),
恐怖,,Andrew Hull,,ftp://dygod2:dygod2@d090.dygod.org:1015/勿扰警告.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]勿扰警告BD中英双字.rmvb,一群朋友计划离开城市去海边度过一个轻松的周末，但事情发生了变化，一个年轻女子在一个偏僻岛屿的岸边向他们挥手求助。伸手救援便是致命的危险，他们不顾一切要逃离小岛...,英语,Eoin Macken ... Ken ,79 mins,勿扰警告,
喜剧/剧情,,迈克尔·道斯 Michael Dowse,,ftp://dygod1:dygod1@d138.dygod.org:8025/今晚带我回家.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]今晚带我回家BD中英双字.rmvb,介,英语,托弗·戈瑞斯 Topher Grace ....Matt Franklin,1h:37m:17s,今晚带我回家/年轻的美国人/美国孩子,
恐怖/惊悚/神秘,,约翰·卡朋特 John Carpenter,,ftp://dygod1:dygod1@d065.dygod.org:2056/病房.[中字.1024分辨率]/[小调网-www.xiaodiao.com]病房BD中字.rmvb,20世纪60年代，一个年轻女子（艾梅柏·希尔德）在一家精神病院里被一个无形的力量恐吓和攻击。,英语,艾梅柏·希尔德 Amber Heard ....Kristen,,病房,
动作,,Adamo P. Cultraro,,ftp://dygod2:dygod2@d315.dygod.org:1001/特遣部队.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]特遣部队BD中英双字.rmvb,杉矶战略特警队的一项训练任务出现了可怕的严重错误——被困在一个废弃停机棚的同时，他们不得不面对互斗的两个团伙，并且没有任何武装…,英语,迈克尔·加·怀特 Michael Jai White ... Hunt,01:28:21 (h:m:s),特遣部队/战略力量,
剧情/犯罪,,Brian Miller,,ftp://dygod2:dygod2@d090.dygod.org:1016/旭日之家.[中英双字.1024分辨率]/[小调网-www.xiaodiao.com]旭日之家BD中英双字.rmvb,"巴蒂斯塔扮演片中的主角Ray是一名有过前科的警察，坐过牢，现在是""旭日之家""酒吧的保安。万圣节的晚上，酒吧遭抢劫，老板的儿子被枪杀。Ray必须查出这次抢劫的真凶，但是老板和警察却都盯上了他...",英语,戴夫·巴蒂斯塔 Dave Batista  ....Ray,87 mins,旭日之家,
喜剧/恐怖,,艾利·克雷格 Eli Craig,,ftp://dygod3:dygod3@d315.dygod.org:2001/双宝斗恶魔.[中字.1024分辨率]/[小调网-www.xiaodiao.com]双宝斗恶魔BD中字.rmvb,一对死党塔克和戴尔在林子里工作，结果因为外貌比较粗犷被一群放假旅游的学生当成了传说中的森林杀手。而当其中一个学生艾莉森溺水被戴尔救起的时候，学生们还以为戴尔是要把艾莉森拖往林中木屋生死，为了救自己的同伴，这些学生一个一个的在活宝兄弟面前假装自杀好让他们放了艾莉森，面对这失控的场面，塔克和戴尔只想知道为什么这帮脑残学生非在自己的地方整死自己不可。,英语,艾伦·图代克 Alan Tudyk ....Tucker,84 Mins,双宝斗恶魔/塔克与戴尔对恶魔,
动作/冒险/剧情/科幻,,马修·沃恩 Matthew Vaughn,,ftp://dygod3:dygod3@d090.dygod.org:2009/X战警：第一战R5中英双字/[电影天堂www.dy2018.net]X战警：第一战R5中英双字.rmvb,·2006年4月，扎克·佩恩开始撰写本片剧本，他最开始的想法是写万磁王的前传，但最后制片人决定先拍摄《金刚狼》;而后制片人认为故事应该不集中于某个角色，而是描述整个团队早期的焦点，最终本片选择了以前传的方式来讲述。,英语/德语/法语/西班牙语/俄语,詹姆斯·麦卡沃伊 James McAvoy  ....Professor Charles Xavier,132 Mins,X战警：第一战/X战警:初级/X战警:第一堂课/X战警:第一课/变种特攻:异能第一战(港),
犯罪/剧情/惊悚,,罗温·乔夫 Rowan Joffe,,ftp://dygod2:dygod2@d090.dygod.org:1007/布赖顿硬糖.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]布赖顿硬糖BD中英双字.rmvb,对于海伦·米伦的加盟，导演形容“就像是小时候圣诞节的早上，睡醒了走下楼，发现父母给你买了一辆古董跑车的那种兴奋劲”。他说正是海伦·米伦的加盟让他对自己重拍这部电影更有信心，“这就表示我并不是完全疯了。”,英语,萨姆·赖利 Sam Riley ....Pinkie,105 Mins,布赖顿硬糖/布赖顿棒糖/马场杀手/布莱登棒棒糖(台),
动画/冒险,,本·斯塔森 Ben Stassen,,ftp://dygod1:dygod1@d065.dygod.org:2050/小海龟大历险.[中字.1024分辨率]/[电影天堂www.dy2018.net]小海龟大历险BD中字.rmvb,本片由曾出品过《带我去月球》等多部得奖动画片的nWave Pictures制作，藉由一只海龟自1959年起的生命旅程，反映出人类对自然生态自私贪婪的无尽掠夺，所造成的全球温室效应，以及遽变的环境所带来的不可忽视的警讯！由本·斯坦森执导，《孤儿》女童星伊莎贝拉·弗尔曼配音。,英语,伊莎贝拉·弗尔曼 Isabelle Fuhrman  ....Hatchling Shelly,85 mins 34 seconds,小海龟大历险/塞米的历险：秘密通道/环球世界五十年,
动画/动作/冒险/喜剧/家庭/科幻,,西蒙·威尔斯 Simon Wells,,ftp://dygod2:dygod2@d090.dygod.org:1009/火星救母记.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]火星救母记BD中英双字.rmvb,"·据说制片人并不是非常愿意让导演西蒙穿上飞行装置,体验所谓的微重力。直到影片拍摄完成,西蒙才体验到了“飞一般的”感受。据西蒙表示,他穿上这一套东西之后,副导演和特技工作人员用尽了一切法子“折磨”他,要把他更弄呕吐。",英语,赛斯·格林 Seth Green  ....Milo,84 minutes,火星救母记/火星人要妈妈/火星人需要妈妈/拯救老妈大作战/火星需要妈妈,
恐怖,,Jim Mickle,,ftp://dygod3:dygod3@d090.dygod.org:2011/刑柱之地DVD中英双字/[电影天堂www.dy2018.net]刑柱之地DVD中英双字.rmvb,介　,英语,康勒·帕奥罗 Connor Paolo  ....Martin,98 mins,刑柱之地/血色大地(台),
惊悚,,Michael Lander,,ftp://dygod2:dygod2@d090.dygod.org:1010/孔雀镇.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]孔雀镇BD中英双字.rmvb,孔雀镇是内布拉斯加州的一个小镇，那里发生了一场火车事故。随着调查的深入，小镇银行职员不可告人的秘密也渐渐浮出水面…,英语,希里安·墨菲 Cillian Murphy  ....John Skillpa,90Mins,孔雀镇/皮科克镇/孔雀,
,,,,ftp://dygod3:dygod3@d090.dygod.org:2012/古巴：意外的伊甸园.[中字.1024分辨率]/[电影天堂www.dy2018.net]古巴：意外的伊甸园BD中字.rmvb,本集节目将追随科学家与专家前往古巴最原始的环境，披露可能遭受的危害，还有这个群岛如何藉由野生动物与附近整个地区、甚至政治对手美国相连系。古巴接下来的变化可能影响世人。,,,53 mins,自然 - 古巴：意外的伊甸园,
剧情/犯罪/悬疑,,菲利普·马丁 Philip Martin,,ftp://dygod2:dygod2@d090.dygod.org:1011/新东方快车谋杀案.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]新东方快车谋杀案BD中英双字.rmvb,波洛到访伊斯坦布尔之际，替英国军方解决了一起复杂的案件。在返回伦敦的途中，他遇到了老友国际客车公司的董事Bouc先生，他为波洛在最后一刻订到了东方快车的车票。在列车上，波洛遇到了形形色色的乘客，其中有一位凶残的美国富商Samuel Ratchett告诉波洛自己的生命受到威胁，他愿意支付重金让波洛保护自己，但却遭到了波洛的拒绝。第二天清晨醒来之际，波洛发现列车受困于暴风雪中而Ratchett已经在自己的包厢内身亡。在Bouc先生和Constantine医生的协助下，波洛开始对凶案展开调查，他是否能顺利解开阿加莎·克里斯蒂笔下最扑朔迷离的惊天大案？,英语,大卫·苏切特 David Suchet  ....Hercule Poirot,1:32:50,东方快车谋杀案/新东方快车谋杀案/大侦探波罗系列之东方快车谋杀案,
科幻/动作/惊悚/悬疑/爱情,,邓肯·琼斯 Duncan Jones,,ftp://dygod1:dygod1@d065.dygod.org:1054/危机解密.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]危机解密BD中英双字.rmvb,对于这么一部电影来说，不能没有爱情，而且在这种紧张的情况下，爱情元素也是影片的一个很好的“情绪调节剂”。在影片中扮演女主角的米歇尔·莫娜汉说：“影片除了那些动作场面之外，还有一些感情戏。我很喜欢这种出现在危急时刻的情感，因为在这种情况下，人们所显露出来的恰恰是自己的本性。所谓说的患难见真交，可能就是这个意思。我觉得影片中的情感和《生死时速》里两个主角的爱情很相似，只不过这部电影的情节更刺激一些，而且我扮演的克里斯汀娜和柯尔特·史蒂文之间的爱情爆发得更加猛烈。”,英语,杰克·吉伦哈尔 Jake Gyllenhaal  ....Colter Stevens,93 Min,源代码/启动原始码/危机解密,
历史,,伊希娅·博拉茵 Icíar Bollaín,,ftp://dygod2:dygod2@d090.dygod.org:1004/雨水危机.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]雨水危机BD中英双字.rmvb,影片由女导演伊希娅·博拉茵执导，在2010年多伦多电影节首映，最终击败了卖座片《夺狱困兽》以及《洛佩》成为2011年西班牙参赛奥斯卡外语片的代表。影片剧本由保罗·拉弗蒂编写，他是爱尔兰著名导演肯·洛奇的长期合作伙伴，编写过《甜蜜十六岁》、《寻找埃里克》等片，本片则以巧妙的戏中戏设定连接起当今同六百年前的哥伦布时代。现代戏中，贝纳尔扮演的电影导演好似拍摄《Fitzcaraldo》时期留下恶劣名声的霍尔佐格，不顾一切、独断专行，满脑子是自己的电影而看不清形势，混淆了判断力。而在古装戏中，美洲“文明化”进程中的血腥再一次被展现，某些残忍场面甚至让人联想起梅尔·吉布森的《启示录》。,西班牙语,盖尔·加西亚·贝纳尔 Gael García Bernal  ....Sebastián,102 Min,雨水危机/甚至是雨/美洲启示录,
动作/冒险/幻想/惊悚,,扎克·施奈德 Zack Snyder,,ftp://dygod1:dygod1@d135.dygod.org:8008/美少女特攻队.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]美少女特攻队加长版BD中英双字.rmvb,"对于这次挑选了一群20来岁的女孩主演一部暴力动作片，扎克·施奈德讲起了他的念头：""漂亮的女孩，枪械和杀戮，这本来就有一种有趣的反差在里面。我并不只是要这样的一个噱头，我会让这些女孩都在拍摄前去认真的进行体能训练，她们集体过了三个月军营的生活，这对于她们来说并不容易，但这是必须的，因为一个经过训练的人拿枪，会和普通人完全不同。她们在电影里有着两面性，在精神病院，她们是手无缚鸡之力的小女孩；但在幻想的世界里，她们是最厉害的杀戮武器。前者是她们所擅长的，但后者，必须要经过严格的训练。（会不会有女权主义的思想？）这个我倒是没有考虑过，我觉得男女平等是一个基本的原则，但人有强弱之分，这个在电影里倒是有着非常多的体现。""",英语,艾米莉·布朗宁 Emily Browning  ....Baby Doll,127 min,美少女特攻队/美少女特工队/杀客同萌/天姬战,
剧情/幻想/爱情,,丹尼尔·巴尔兹 Daniel Barnz,,ftp://dygod1:dygod1@d135.dygod.org:8009/野兽男孩.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]野兽男孩BD中英双字.rmvb,对于自己的“新外表”，亚历克斯·帕蒂弗说：“要扮演这个角色，我必须剃光头。在剃光头前后，我的心境是不一样的，就好像影片中凯尔在变身怪兽前后的心境。外貌上的这个变化帮助我更好地揣摩塑造人物。这个外貌让我明白，我在银幕上演的实际上是另一个凯尔，那个隐藏在他俊朗外表下的家伙。当然，在片场，所有人都在围绕我打转，给我化妆的、补妆的，做后期的。几乎整个剧组都在为我服务，这让我感觉到压力很大。不过导演却总是鼓励我说，要我放轻松，要我别去想那些与角色不相干的事情。我觉得我在影片中做的还不错。”,英语,亚历克斯·帕蒂弗 Alex Pettyfer  ....Kyle,88 min,野兽男孩/美女与野兽：新世纪激情篇(港)/野兽情人(台)/野兽,
动画/冒险/喜剧/家庭,,戈尔·维宾斯基 Gore Verbinski,,ftp://dygod1:dygod1@d090.dygod.org:3007/兰戈DVD中英双字/[电影天堂www.dy2018.net]兰戈DVD中英双字-cd1.rmvbftp://dygod1:dygod1@d090.dygod.org:3007/兰戈DVD中英双字/[电影天堂www.dy2018.net]兰戈DVD中英双字-cd2.rmvb,"兰戈:就去信任这块牌子吧,只要它挂在那儿,我们就有希望。",英语,约翰尼·德普 Johnny Depp  ....Rango / Lars (voice),107 Mins,兰戈/里戈/马拉高(港)/飙风雷哥(台) 加长版,
剧情/爱情/惊悚,,迈克尔·高德巴赫 Michael Goldbach,,ftp://dygod2:dygod2@d090.dygod.org:1005/白日梦国度.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]白日梦国度BD中英双字.rmvb,影片《白日梦国度》讲述的是一个美国小镇的奇情故事。17岁的卡洛琳随着父亲从城市搬到了小镇上，镇上所有的青少年都沉迷于毒品。卡洛琳的新同学们最热衷就是发明新的吸毒方法。男生瑟斯顿对卡洛琳一见钟情，但是无聊的卡洛琳却和自己的老师扯上了一段婚外情，这时镇子上又出现了杀人狂，镇上的人们相继遇害。当卡洛琳最后为了瑟斯顿而决定离开老师的时候，老师恼羞成怒，事情向着不可预知的方向发展着...,英语,凯特·戴琳斯 Kat Dennings ....Caroline Wexler,98 mins,白日梦国度,
动画/冒险/喜剧/家庭,,戈尔·维宾斯基 Gore Verbinski,,ftp://dygod1:dygod1@d065.dygod.org:1050/兰戈.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]兰戈BD中英双字.rmvb,"兰戈:就去信任这块牌子吧,只要它挂在那儿,我们就有希望。",英语,约翰尼·德普 Johnny Depp  ....Rango / Lars (voice),107 Mins,兰戈/里戈/马拉高(港)/飙风雷哥(台) 加长版,
动画/喜剧/冒险/家庭/音乐,,卡洛斯·沙尔丹哈 Carlos Saldanha,,ftp://dygod1:dygod1@d505.dygod.org:1033/里约大冒险/[电影天堂www.dy2018.net]里约大冒险R5中字.rmvb,蓝天工作室的在制作CG的技术上一直在创新，特别是《冰川时代2》的制作过程里，蓝天工作室开发了一套制作皮毛、水流的渲染器，而且成为了业界同类最顶尖。在《里约大冒险》里，技术同样也值得赞许，卡洛斯·沙尔丹对影片的技术细节部分详细说道：“我们最先研究了许多鸟类的生活状态，并且用了一种非常独特的方式来进行动作捕捉。这次我们在电影里，技术难度最大的是鸟的翅膀，因为在故事里，小鸟会做出很多复杂的动作，而这些动作是地球上的鸟类不可能去做的。所以我们需要完全全新的设计这些鸟在进行动作的时候翅膀的变化，这并不好办，这也是影片我们克服的最大难点。当然，技术并不是我们想拿来吸引观众的元素，有趣的故事和角色，还有浪漫精致的想象力，我认为一部优秀的动画，需要靠这些，才能真正的令观众喜欢。”,英语,杰西·艾森伯格 Jesse Eisenberg  ....Blu (voice),92 Mins,里约大冒险/奇鹦嘉年华(港)/鹦鹉莱欧/里约,
喜剧,,大卫·鲍沃斯 David Bowers,,ftp://dygod1:dygod1@d065.dygod.org:2046/小屁孩日记2.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]小屁孩日记2BD中英双字.rmvb,如果你看了太多充满英雄主义和暴力色彩的漫画改编电影，那么“小屁孩日记”这样另类的“漫画改编”电影或许能给你带来一股不一样的气息。首部的成功坚定了20世纪福斯公司的信心，而小鬼当家式的儿童喜剧也一直是大银幕上极具吸引力的磁石，所以，在这个春天，《小屁孩日记2》正是适合全家一同观看的合家欢喜剧，而从主演扎克瑞·戈登兴奋的压抑不住透露剧情看，小演员们演得很愉快，这种愉快的心情下，相信我们也将有机会欣赏到一部令全家愉快的喜剧电影。,英语,扎克瑞·戈登 Zachary Gordon  ....Greg Heffley,99 Min,小屁孩日记2/小屁孩日记：罗德里格克法则,
恐怖/科幻,,德克兰·奥布莱恩 Declan O'Brien,,ftp://dygod1:dygod1@d065.dygod.org:1051/章鲨.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]章鲨BD中英双字.rmvb,为了防止章鲨伤害无辜，桑兹父女一路追踪，并且拜托安迪·弗林（Kerem Bursin 饰）帮助寻找。与此同时，恐怖的章鲨在沿岸展开了肆无忌惮的大屠杀…,英语,埃里克·罗伯茨 Eric Roberts ....Nathan Sands,89 Minutes,章鲨,
恐怖/惊悚,,詹姆斯·温 James Wan,,ftp://dygod1:dygod1@d135.dygod.org:8012/潜伏.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]潜伏BD中英双字.rmvb,通常凭借一片成名的导演也会因此背上包袱，不过这个问题对于詹姆斯·温来说完全不存在，他因《电锯惊魂》成名，同时依然不断尝试新的恐怖电影创作思路。《潜伏》自从在多伦多电影节亮相以来，获得媒体普遍好评，其对音效和摄影的巧妙运用，更是获得技术层面高度认可。所以，詹姆斯·温也安心的等到了每年春季恐怖片扎堆的第一高峰期，向观众献上一出经典模式的鬼屋恐怖电影，而这一次，我们也期待他于其中作出一些个人的突破。,英语,帕特里克·威尔森 Patrick Wilson  ....Josh,99mins,潜伏/阴儿房(台),
战争,,阿德里安·维多利亚 Adrian Vitoria,,ftp://dygod3:dygod3@d090.dygod.org:2007/英雄时代.[中字.1024分辨率]/[电影天堂www.dy2018.net]英雄时代BD中字.rmvb,整部影片的拍摄周期长达一年，这在英国电影界并不多见。为了这部电影的真实性，阿德里安·维多利亚查证了大量的资料，并且从细节入手，对道具和故事修修改改。阿德里安说：“在我拍片的过程中，一些关于突击队原始的资料和素材给了我很大的帮助。虽然我在最终完成的影片版本中没有办法事无巨细地展示出每一个细节，但整部影片还是尽了最大的努力向真实靠拢了。我觉得，我应该向那些二战中的战斗英雄们致敬，并让他们来观赏影片，让他们知道，后人并没有忘记他们的事迹。”,英语,肖恩·宾 Sean Bean  ....Jones,89 Min,英雄时代,
动作/犯罪/惊悚,,杰森·埃森纳 Jason Eisener,,ftp://dygod1:dygod1@d135.dygod.org:7029/携枪流浪汉.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]携枪流浪汉BD中英双字.rmvb,影片由加拿大导演杰森·埃森纳执导，这一次他将把代表作《圣诞树复仇记》的血腥恶搞延续下来，超强暴力和极度血腥将是《携枪流浪汉》的最大看点。,英语,鲁特格尔·哈尔 Rutger Hauer  ....Hobo,87 min,携枪流浪汉,
喜剧,,杰森·温纳 Jason Winer,,ftp://dygod2:dygod2@d090.dygod.org:1006/亚瑟.[中英双字.1024分辨率]/[电影天堂www.dy2018.net]亚瑟BD中英双字.rmvb,实际上，对于拉塞尔·布兰德和海伦·米伦这样的演员组合，制片人斯科特·克洛夫也考虑了很久：“这两位演员都是属于非常有自己风格的演员，在电影里他们的对手戏特别的多，所以我们一直在想找一个能产生出化学反应的演员组合。定下拉塞尔·布兰德和海伦·米伦的时候，我也并不确定他们能否在电影里有一个很好的效果，但试着拍摄第一场戏的时候，一切疑问都没有了。他们就像命中注定的冤家那样，说起笑话来非常的自然，让整个剧组都在一种开心的状态下完成了拍摄。另一个组合是珍妮弗·加纳和拉塞尔·布兰德，他们的形象就注定了会有有趣的事情发生，你会看到珍妮弗·加纳在电影里是怎么给拉塞尔·布兰德难堪，那种效果非常自然，这个亚瑟，真的不一般。”,英语,拉塞尔·布兰德 Russell Brand  ....Arthur,109 Mins,亚瑟/阿舍正传(台),
